co_grupo,co_sub_grupo,no_grupo,no_sub_grupo,co_forma_organizacao,no_forma_organizacao,co_procedimento,no_procedimento,tp_complexidade,tp_sexo,qtde_max_execucao,qtde_dias_permanencia,qtde_pontos,vl_idade_minima,vl_idade_maxima,vl_sh,vl_sa,vl_sp,co_financiamento,co_rubrica,qtde_tempo_permanencia,dt_competencia,codigo_procedimento,descricao_procedimento,dt_competencia_descricao
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,1,Educação em saúde,101010010.0,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,1.0,N,9999.0,9999.0,0.0,9999.0,9999.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101010010,"CONSISTE NAS ATIVIDADES EDUCATIVAS, EM GRUPO,  SOBRE AÇÕES DE PROMOÇÃO E PREVENÇÃO À SAÚDE, DESENVOLVIDAS NA UNIDADE OU NA COMUNIDADE.  RECOMENDA-SE O MÍNIMO DE 10 (DEZ) PARTICIPANTES,COM DURAÇÃO MÍNIMA  DE 30 (TRINTA) MINUTOS.DEVE-SE REGISTRAR O NÚMERO DE ATIVIDADES REALIZADAS POR MÊS",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,1,Educação em saúde,101010028.0,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,2.0,I,9999.0,9999.0,0.0,84.0,1571.0,0.0,270.0,0.0,6.0,,9999.0,202510.0,0101010028,"CONSISTE NAS ATIVIDADES EDUCATIVAS SOBRE AÇÕES DE PROMOÇÃO E PREVENÇÃO À SAÚDE, DESENVOLVIDAS EM GRUPO.  RECOMENDA-SE O MÍNIMO DE 10 (DEZ) PARTICIPANTES,COM DURAÇÃO MÍNIMA  DE 30 (TRINTA) MINUTOS.DEVE-SE REGISTRAR O NÚMERO DE ATIVIDADES REALIZADAS POR MÊS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,1,Educação em saúde,101010036.0,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO,1.0,I,9999.0,9999.0,0.0,72.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101010036,"ATIVIDADE FÍSICA DESENVOLVIDA EM GRUPO POR PROFISSIONAIS QUALIFICADOS , REALIZADA NO ESTABELECIMENTO DE SAÚDE OU NA COMUNIDADE.INFORMAR NÚMERO DE ATIVIDADES REALIZADAS EM GRUPO POR MÊS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020074.0,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO),1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020074,"APLICAÇÃO TÓPICA DE FLÚOR NA FORMA DE GEL COM CONCENTRAÇÃO DE 1,23  OU NA FORMA DE VERNIZ, PODENDO USAR PINCÉIS, ESCOVA DENTAL, MOLDEIRA E OUTRAS FORMAS DE APLICAÇÕES, COM A FINALIDADE DE PREVENIR E/OU  REMINERALIZAR OS DENTES COM OU SEM LESÕES. O NUMERO DE SESSÕES DEVE SER DEFINIDO SEGUNDO PADRÕES TÉCNICO CIENTIFICO DE ABORDAGEM DO CASO E DO ACOMPANHAMENTO DO PROFISSIONAL AOS PROGRAMAS LOCAIS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020082.0,EVIDENCIAÇÃO DE PLACA BACTERIANA,1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020082,UTILIZAÇÃO DE SUBSTÂNCIAS CORANTES COM A FINALIDADE DE EVIDENCIAR A PLACA BACTERIANA.,202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020058.0,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE),1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020058,ATIVIDADE COM FINALIDADE TERAPÊUTICA E  CONTROLE DE UM OU MAIS DENTES COM LESÕES DE CARIE.,202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020066.0,APLICAÇÃO DE SELANTE (POR DENTE),1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020066,"APLICAÇÃO DE MATERIAL SELADOR POR DENTE EM PONTOS, SULCOS E FISSURAS, REALIZADA COM FINALIDADE PREVENTIVA DAS LESÕES DE CARIE.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020120.0,ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS,1.0,I,9999.0,9999.0,0.0,120.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020120,"CONSISTE EM ORIENTAÇÃO PROFISSIONAL ACERCA DOS CUIDADOS COM A DESINFECÇÃO E A HIGIENIZAÇÃO DOS DIFERENTES TIPOS DE PRÓTESE, PROMOVENDO A MANUTENÇÃO DA ESTRUTURA DA PRÓTESE, ASSIM COMO EVITANDO QUE OS USUÁRIOS DESENVOLVAM AGRAVOS RELACIONADOS À MICRORGANISMOS QUE ANCORAM NA SUPERFÍCIE DAS PRÓTESES OU INTERFACE DESTA COM OS DENTES REMANESCENTES.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020090.0,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA,1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020090,"FECHAMENTO DE CAVIDADE COM OU SEM PRAPARO CAVITARIO PARA FINS DE RESTAURACAO, COM O OBJETIVO DE REDUCAO DA SEPTICEMIA BUCAL OU DE TERAPIA EXPECTANTE COMO ETAPA INTERMEDIARIA  ATE QUE A RESTAURACAO DEFINITIVA SEJA EXECUTADA. INCLUI-SE NESTA DENIMINACAO OS PROCEDIMENTOS CONHECIDOS COMO ADEQUACAO DO MEIO BUCAL, CONTROLE DA INFECCAO INTRA BUCAL, CONTROLE EPIDEMIOLOGICO DA CARIE E A RESTAURACAO PROVISORIA, DENTRE OUTRAS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,2,Saúde bucal,101020104.0,ORIENTAÇÃO DE HIGIENE BUCAL,1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101020104,CONSISTE EM ATIVIDADES DE ORIENTAÇÃO DE HIGIENE BUCAL VOLTADAS À PROMOÇÃO DO AUTOCUIDADO E MELHORIA DA CONDIÇÃO BUCAL.,202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,3,Visita domiciliar,101030029.0,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR,1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101030029,"CONSISTE NA AVALIAÇÃO PELA EQUIPE DE ATENÇÃO DOMICILIAR COM OBJETIVO DE VERIFICAR A CONDIÇÃO DO PACIENTE. CONSIDERANDO AVALIAÇÃO CLÍNICA, DO DOMICÍLIO, DO CUIDADOR E OUTRAS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,4,Alimentação e nutrição,101040032.0,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),2.0,I,9999.0,9999.0,0.0,144.0,599.0,0.0,300.0,0.0,6.0,,9999.0,202510.0,0101040032,VISITA DOMICILIAR REALIZADA PARA A COLETA DO LEITE HUMANO NA CASA DA DOADORA;,202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,4,Alimentação e nutrição,101040024.0,AVALIAÇÃO ANTROPOMÉTRICA,1.0,I,9999.0,9999.0,0.0,0.0,1571.0,0.0,0.0,0.0,1.0,,9999.0,202510.0,0101040024,"É UM MÉTODO DE INVESTIGAÇÃO EM NUTRIÇÃO BASEADO NA AFERIÇÃO DO PESO, DA ALTURA E DE OUTRAS MEDIDAS DO CORPO HUMANO E NA COMPOSIÇÃO CORPORAL GLOBAL. TRATA-SE DE UM IMPORTANTE RECURSO PARA A AVALIAÇÃO DO ESTADO NUTRICIONAL DO INDIVÍDUO EM TODAS AS FASES DO CURSO DA VIDA E AINDA OFERECE DADOS PARA O ACOMPANHAMENTO DO CRESCIMENTO E DESENVOLVIMENTO DE CRIANÇAS E ADOLESCENTES. AS INFORMAÇÕES OBTIDAS COM A AVALIAÇÃO ANTROPOMÉTRICA E A INTERPRETAÇÃO DO ESTADO NUTRICIONAL CONTRIBUEM PARA O SISTEMA DE VIGILÂNCIA ALIMENTAR E NUTRICIONAL - SISVAN, POIS PERMITEM MONITORAR A SITUAÇÃO NUTRICIONAL DE GRUPOS POPULACIONAIS ESPECÍFICOS E SUBSIDIAR POLÍTICAS E AÇÕES PARA PROMOÇÃO DA SAÚDE E DA ALIMENTAÇÃO SAUDÁVEL, PREVENÇÃO E CONTROLE DE AGRAVOS NUTRICIONAIS.",202510
1,1,Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde,4,Alimentação e nutrição,101040040.0,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS),2.0,N,9999.0,9999.0,0.0,9999.0,9999.0,0.0,1106.0,0.0,6.0,,9999.0,202510.0,0101040040,"TRATAMENTO TÉRMICO, CONDUZIDO A 62,5 GRAUS CELSIUS POR 30 MINUTOS, APLICADO AO LEITE HUMANO ORDENHADO, COM O OBJETIVO DE INATIVAR 100% DOS MICRORGANISMOS PATOGÊNICOS E 99,99% DA MICROBIOTA SAPRÓFITA, EQUIVALENDO A UM TRATAMENTO 15°D PARA INATIVAÇÃO TÉRMICA DA COXIELLA BURNETTI.",202510
